day,order,item_type,start_time,end_time,location_id,location_name,category,duration_min,travel_from_previous_min,distance_from_previous_km,entry_fee_adult,predicted_suitability_score,latitude,longitude,reservation_required,recommendation_reason
1,1,location,09:30,11:00,9.0,St. Peter's Basilica,religious,90,0,0.0,0.0,79.53,41.902156829833984,12.453712463378906,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
1,2,location,11:28,12:58,11.0,Castel Sant'Angelo,historic,90,28,1.32,15.0,76.42,41.903099060058594,12.466400146484377,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
1,3,break,12:58,13:58,,Lunch Break,break,60,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
1,4,location,14:31,16:01,25.0,Doria Pamphilj Gallery,museum,90,33,1.73,16.0,71.75,41.89782333374024,12.481560707092283,0.0,Müze tercihinize uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
1,5,location,16:18,17:48,23.0,Trajan's Market,historic,90,17,0.56,15.0,73.7,41.8956184387207,12.486105918884276,0.0,Tarih ilginizle yüksek uyumlu; müze tercihinize uygun; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun.
2,1,location,09:30,11:00,39.0,Domus Aurea,historic,90,0,0.0,16.0,72.52,41.891387939453125,12.495277404785156,1.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
2,2,location,11:14,13:14,1.0,Colosseum,historic,120,14,0.28,18.0,75.41,41.890262603759766,12.493086814880373,1.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
2,3,break,13:14,14:14,,Lunch Break,break,60,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
2,4,location,14:32,16:02,3.0,Palatine Hill,historic,90,18,0.63,18.0,69.61,41.889305114746094,12.487109184265137,0.0,Tarih ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
2,5,location,16:21,18:21,14.0,Capitoline Museums,museum,120,19,0.69,16.0,72.36,41.892669677734375,12.482208251953123,0.0,Tarih ilginizle yüksek uyumlu; müze tercihinize uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
3,1,location,09:30,10:30,15.0,Altare della Patria,monument,60,0,0.0,0.0,72.54,41.89468765258789,12.48306655883789,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
3,2,location,10:51,11:36,4.0,Pantheon,historic,45,21,0.85,5.0,72.13,41.89861679077149,12.47683334350586,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
3,3,location,11:51,12:51,7.0,Piazza Navona,square,60,15,0.39,0.0,69.68,41.8989816,12.4731439,0.0,Mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
3,4,break,12:51,13:51,,Lunch Break,break,60,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
3,5,location,14:07,14:52,16.0,Campo de' Fiori,square,45,16,0.47,0.0,60.61,41.8956638,12.4720465,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
3,6,location,15:20,17:20,17.0,Trastevere,district,120,28,1.35,0.0,65.06,41.887222,12.465556,0.0,Tarih ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
