day,order,item_type,start_time,end_time,location_id,location_name,category,duration_min,travel_from_previous_min,distance_from_previous_km,entry_fee_adult,predicted_suitability_score,latitude,longitude,reservation_required,recommendation_reason
1,1,location,10:00,11:30,12.0,Villa Borghese,park,90,0,0.0,0.0,76.05,41.912841796875,12.486536026000977,0.0,Fotoğraf çekimi için uygun; doğa ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
1,2,location,11:50,12:35,38.0,Pincian Hill,viewpoint,45,20,0.76,0.0,69.42,41.91104888916016,12.479573249816896,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
1,3,location,12:50,13:50,19.0,Piazza del Popolo,square,60,15,0.34,0.0,60.41,41.910711,12.476319,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
1,4,break,13:50,15:05,,Lunch Break,break,75,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
1,5,location,15:37,16:37,7.0,Piazza Navona,square,60,32,1.66,0.0,64.36,41.8989816,12.4731439,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
2,1,location,10:00,12:00,34.0,Appian Way,historic,120,0,0.0,0.0,71.24,41.866944,12.5325,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
2,2,break,12:00,13:15,,Lunch Break,break,75,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
2,3,location,14:24,15:54,21.0,Baths of Caracalla,historic,90,69,4.46,8.0,61.32,41.87882995605469,12.492473602294922,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
2,4,location,16:25,17:10,31.0,Orange Garden,park,45,31,1.59,0.0,71.67,41.88542556762695,12.479907989501951,0.0,Fotoğraf çekimi için uygun; doğa ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
2,5,location,17:48,18:48,30.0,Janiculum Hill,viewpoint,60,38,2.12,0.0,70.48,41.89157485961914,12.461164474487305,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
