day,order,item_type,start_time,end_time,location_id,location_name,category,duration_min,travel_from_previous_min,distance_from_previous_km,entry_fee_adult,predicted_suitability_score,latitude,longitude,reservation_required,recommendation_reason
1,1,location,09:30,11:00,9.0,St. Peter's Basilica,religious,90,0,0.0,0.0,85.79,41.902156829833984,12.453712463378906,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
1,2,location,11:28,12:58,11.0,Castel Sant'Angelo,historic,90,28,1.32,15.0,81.22,41.903099060058594,12.466400146484377,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
1,3,break,12:58,13:58,,Lunch Break,break,60,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
1,4,location,14:25,15:10,4.0,Pantheon,historic,45,27,1.25,5.0,79.52,41.89861679077149,12.47683334350586,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
1,5,location,15:34,17:04,23.0,Trajan's Market,historic,90,24,1.05,15.0,76.92,41.8956184387207,12.486105918884276,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
2,1,location,09:30,11:30,1.0,Colosseum,historic,120,0,0.0,18.0,82.23,41.890262603759766,12.493086814880373,1.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
2,2,location,11:44,13:14,39.0,Domus Aurea,historic,90,14,0.28,16.0,76.37,41.891387939453125,12.495277404785156,1.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
2,3,break,13:14,14:14,,Lunch Break,break,60,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
2,4,location,14:36,16:06,3.0,Palatine Hill,historic,90,22,0.89,18.0,73.74,41.889305114746094,12.487109184265137,0.0,Tarih ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
2,5,location,16:21,18:21,2.0,Roman Forum,historic,120,15,0.34,18.0,75.39,41.8917236328125,12.486671447753906,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
3,1,location,09:30,11:00,21.0,Baths of Caracalla,historic,90,0,0.0,8.0,77.58,41.87882995605469,12.492473602294922,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
3,2,location,11:32,12:32,36.0,Basilica of Saint John Lateran,religious,60,32,1.67,0.0,76.6,41.88584899902344,12.505587577819824,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
3,3,break,12:32,13:32,,Lunch Break,break,60,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
3,4,location,14:06,15:06,20.0,Basilica of Saint Mary Major,religious,60,34,1.79,0.0,76.6,41.89762496948242,12.498470306396484,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
3,5,location,15:38,16:38,15.0,Altare della Patria,monument,60,32,1.65,0.0,76.45,41.89468765258789,12.48306655883789,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
3,6,location,17:04,18:04,7.0,Piazza Navona,square,60,26,1.19,0.0,72.28,41.8989816,12.4731439,0.0,Mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
