day,order,item_type,start_time,end_time,location_id,location_name,category,duration_min,travel_from_previous_min,distance_from_previous_km,entry_fee_adult,predicted_suitability_score,latitude,longitude,reservation_required,recommendation_reason
1,1,location,11:00,13:00,17.0,Trastevere,district,120,0,0.0,0.0,71.9,41.887222,12.465556,0.0,Fotoğraf çekimi için uygun; gastronomi tercihinize uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
1,2,location,13:28,14:13,16.0,Campo de' Fiori,square,45,28,1.35,0.0,68.58,41.8956638,12.4720465,0.0,Fotoğraf çekimi için uygun; gastronomi tercihinize uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
1,3,break,14:13,15:28,,Lunch Break,break,75,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
1,4,location,15:44,16:44,7.0,Piazza Navona,square,60,16,0.47,0.0,70.1,41.8989816,12.4731439,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
1,5,location,17:06,18:36,11.0,Castel Sant'Angelo,historic,90,22,0.9,15.0,61.58,41.903099060058594,12.466400146484377,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
1,6,location,19:04,20:34,9.0,St. Peter's Basilica,religious,90,28,1.32,0.0,63.06,41.902156829833984,12.453712463378906,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
2,1,location,11:00,12:30,21.0,Baths of Caracalla,historic,90,0,0.0,8.0,60.24,41.87882995605469,12.492473602294922,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
2,2,location,13:01,14:31,3.0,Palatine Hill,historic,90,31,1.56,18.0,58.91,41.889305114746094,12.487109184265137,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
2,3,break,14:31,15:46,,Lunch Break,break,75,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
2,4,location,16:07,17:07,15.0,Altare della Patria,monument,60,21,0.86,0.0,59.9,41.89468765258789,12.48306655883789,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
2,5,location,17:20,18:05,18.0,Piazza Venezia,square,45,13,0.23,0.0,55.09,41.89605331420898,12.48182201385498,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
2,6,location,18:23,19:08,4.0,Pantheon,historic,45,18,0.63,5.0,57.54,41.89861679077149,12.47683334350586,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
