location_id,location_name,normalized_name,city,country,opentripmap_match_name,opentripmap_match_score,source_opentripmap_id,source_osm_id,source_wikidata_id,latitude,longitude,category_raw,opentripmap_rate,popularity_score,data_source,opentripmap_match_status,category,sub_category,description,indoor_outdoor,average_visit_duration_min,min_visit_duration_min,max_visit_duration_min,recommended_visit_time,reservation_required,is_family_friendly,opening_hours_raw,opening_time,closing_time,open_days,closed_days,is_open_24h,entry_fee_adult,entry_fee_student,currency,is_free,budget_level,google_rating,google_review_count,tourist_importance_score,history_score,museum_score,art_score,architecture_score,photography_score,nature_score,gastronomy_score,shopping_score,religious_score,public_transport_score,walking_difficulty_score,weather_sensitivity,good_for_rainy_weather,good_for_hot_weather,location_identity_source,coordinate_source,planning_feature_source,fee_data_source,opening_hours_source,interest_scores_source,google_rating_source,data_confidence_level,needs_verification,verification_note,interest_match_score,budget_match_score,time_match_score,tempo_match_score,weather_match_score,importance_match_score,suitability_score,user_profile_name,recommendation_reason
9,St. Peter's Basilica,st peters basilica,Rome,Italy,Saint Peter's Basilica,100.0,W205541334,way/205541334,Q12512,41.902156829833984,12.453712463378906,"religion,churches,interesting_places,catholic_churches",7.0,7.0,OpenTripMap,strong_match,religious,basilica,,indoor,90,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,10,9,0,3,10,9,0,0,0,10,7,4,medium,True,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions.",93.33,100,80,90,80,100.0,93.67,history_architecture_user,"St. Peter's Basilica, tarih ilgisine uygun, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
1,Colosseum,colosseum,Rome,Italy,colosseum,100.0,R1834818,relation/1834818,Q10285,41.890262603759766,12.493086814880373,"sport,mineshafts,architecture,historic,archaeology,other_archaeological_sites,industrial_facilities,historic_architecture,cultural,theatres_and_entertainments,interesting_places,music_venues,amphitheatres,stadiums",7.0,7.0,OpenTripMap,strong_match,historic,amphitheatre,,outdoor,120,45,120,any,True,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,18,0,EUR,False,medium,,,10,10,0,3,10,10,0,0,0,0,7,6,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions.",100.0,75,80,90,80,100.0,92.25,history_architecture_user,"Colosseum, tarih ilgisine uygun, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
4,Pantheon,pantheon,Rome,Italy,Pantheon,100.0,R3374342,relation/3374342,Q99309,41.89861679077149,12.47683334350586,"religion,churches,interesting_places,other_churches",2.0,2.0,OpenTripMap,strong_match,historic,temple_church,,indoor,45,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,5,0,EUR,False,low,,,10,9,0,3,10,9,0,0,0,6,7,4,medium,True,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions.",93.33,90,80,75,80,100.0,90.67,history_architecture_user,"Pantheon, tarih ilgisine uygun, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
15,Altare della Patria,altare della patria,Rome,Italy,monument to vittorio emanuele ii,100.0,R1849830,relation/1849830,Q506234,41.89468765258789,12.48306655883789,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",7.0,7.0,OpenTripMap,strong_match,monument,national_monument,,outdoor,60,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,9,8,0,3,9,10,0,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions.",90.0,100,80,90,80,90.0,90.0,history_architecture_user,"Altare della Patria, tarih ilgisine uygun, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
7,Piazza Navona,piazza navona,Rome,Italy,Manual: Piazza Navona,100.0,,,Q463400,41.8989816,12.4731439,"historic,architecture,cultural,urban_environment,squares",,,"Wikidata, Manual",manual_match,square,historic_square,,outdoor,60,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,10,5,0,3,9,10,0,6,0,0,7,4,medium,False,True,"Wikidata, Manual","Wikidata, Manual",rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,medium,True,"Identity and coordinates are manually completed using Wikidata. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions.",80.0,100,80,90,80,100.0,89.0,history_architecture_user,"Piazza Navona, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
2,Roman Forum,roman forum,Rome,Italy,roman forum,100.0,R1841080,relation/1841080,Q180212,41.8917236328125,12.486671447753906,"historic,archaeology,interesting_places,other_archaeological_sites",3.0,3.0,OpenTripMap,strong_match,historic,archaeological_site,,outdoor,120,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,18,0,EUR,False,medium,,,10,10,0,3,8,9,0,0,0,0,7,7,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions.",90.0,75,80,90,80,100.0,88.75,history_architecture_user,"Roman Forum, tarih ilgisine uygun, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
5,Trevi Fountain,trevi fountain,Rome,Italy,trevi fountain,100.0,W23322002,way/23322002,Q185382,41.900978088378906,12.483284950256348,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",3.0,3.0,OpenTripMap,strong_match,landmark,fountain,,outdoor,30,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,10,5,0,3,8,10,0,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions.",76.67,100,80,75,80,100.0,86.33,history_architecture_user,"Trevi Fountain, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
11,Castel Sant'Angelo,castel santangelo,Rome,Italy,Mausoleum of Hadrian,100.0,Q3301838,,Q3301838,41.903099060058594,12.466400146484377,"historic,monuments_and_memorials,burial_places,interesting_places,monuments,mausoleums",2.0,2.0,OpenTripMap,strong_match,historic,castle_museum,,mixed,90,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,15,0,EUR,False,medium,,,9,9,6,3,8,9,0,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions.",86.67,75,80,90,80,90.0,85.08,history_architecture_user,"Castel Sant'Angelo, tarih ilgisine uygun, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
21,Baths of Caracalla,baths of caracalla,Rome,Italy,Baths of Caracalla,100.0,W27591419,way/27591419,Q502098,41.87882995605469,12.492473602294922,"national_museums,architecture,historic,archaeology,museums,saunas,other_archaeological_sites,amusements,historic_architecture,cultural,interesting_places,baths_and_saunas,other_buildings_and_structures",7.0,7.0,OpenTripMap,strong_match,historic,archaeological_site,,outdoor,90,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,8,0,EUR,False,low,,,8,9,0,3,8,8,0,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions.",83.33,90,80,90,80,80.0,83.67,history_architecture_user,"Baths of Caracalla, tarih ilgisine uygun, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
20,Basilica of Saint Mary Major,basilica of saint mary major,Rome,Italy,basilica of saint mary major,100.0,W131564482,way/131564482,Q186282,41.89762496948242,12.498470306396484,"religion,churches,interesting_places,catholic_churches",7.0,7.0,OpenTripMap,strong_match,religious,basilica,,indoor,60,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,8,8,0,3,9,6,0,0,0,10,7,4,medium,True,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions.",76.67,100,80,90,80,80.0,82.83,history_architecture_user,"Basilica of Saint Mary Major, tarih ilgisine uygun, mimari açıdan güçlü olduğu için önerildi."
