day,order,item_type,start_time,end_time,location_id,location_name,category,duration_min,travel_from_previous_min,distance_from_previous_km,entry_fee_adult,predicted_suitability_score,latitude,longitude,reservation_required,recommendation_reason
1,1,location,09:30,12:30,8.0,Vatican Museums,museum,180,0,0.0,20.0,65.31,41.90496063232422,12.45466136932373,1.0,Belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
1,2,break,12:30,14:00,,Lunch Break,break,90,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
1,3,location,14:15,15:45,9.0,St. Peter's Basilica,religious,90,15,0.4,0.0,63.37,41.902156829833984,12.453712463378906,0.0,Belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
1,4,location,15:57,16:42,10.0,Sistine Chapel,religious,45,12,0.13,20.0,57.28,41.90293502807617,12.4544038772583,1.0,Belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
2,1,location,09:30,11:30,34.0,Appian Way,historic,120,0,0.0,0.0,63.88,41.866944,12.5325,0.0,Belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
2,2,break,11:30,13:00,,Lunch Break,break,90,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
2,3,location,14:19,16:19,1.0,Colosseum,historic,120,79,5.21,18.0,63.08,41.890262603759766,12.493086814880373,1.0,Belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
3,1,location,09:30,11:30,14.0,Capitoline Museums,museum,120,0,0.0,16.0,63.75,41.892669677734375,12.482208251953123,0.0,Belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
3,2,location,11:46,13:46,2.0,Roman Forum,historic,120,16,0.48,18.0,59.45,41.8917236328125,12.486671447753906,0.0,Belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
3,3,break,13:46,15:16,,Lunch Break,break,90,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
3,4,location,15:33,16:33,15.0,Altare della Patria,monument,60,17,0.56,0.0,59.37,41.89468765258789,12.48306655883789,0.0,Belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun; aile dostu mekân şartınızı karşılıyor.
