day,order,start_time,end_time,location_name,category,duration_min,entry_fee_adult,budget_level,suitability_score,latitude,longitude,recommendation_reason
1,1,09:30,12:30,Vatican Museums,museum,180,20,medium,76.92,41.90496063232422,12.45466136932373,"Vatican Museums, tarih ilgisine uygun, müze ve sanat ilgisine uygun olduğu için önerildi."
1,2,12:55,13:55,Lunch Break,break,60,0,,,,,Gün ortasında dinlenme ve yemek molası.
1,3,13:55,14:40,Sistine Chapel,religious,45,20,medium,74.42,41.90293502807617,12.4544038772583,"Sistine Chapel, müze ve sanat ilgisine uygun olduğu için önerildi."
1,4,15:05,16:35,St. Peter's Basilica,religious,90,0,free,93.67,41.902156829833984,12.453712463378906,"St. Peter's Basilica, tarih ilgisine uygun, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
1,5,17:00,18:30,Castel Sant'Angelo,historic,90,15,medium,85.08,41.903099060058594,12.466400146484377,"Castel Sant'Angelo, tarih ilgisine uygun, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
2,1,09:30,11:30,Colosseum,historic,120,18,medium,92.25,41.890262603759766,12.493086814880373,"Colosseum, tarih ilgisine uygun, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
2,2,11:55,13:55,Roman Forum,historic,120,18,medium,88.75,41.8917236328125,12.486671447753906,"Roman Forum, tarih ilgisine uygun, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
2,3,14:20,15:20,Lunch Break,break,60,0,,,,,Gün ortasında dinlenme ve yemek molası.
2,4,15:20,16:50,Palatine Hill,historic,90,18,medium,81.58,41.889305114746094,12.487109184265137,"Palatine Hill, tarih ilgisine uygun, fotoğraf çekimi için uygun olduğu için önerildi."
2,5,17:15,18:15,Altare della Patria,monument,60,0,free,90.0,41.89468765258789,12.48306655883789,"Altare della Patria, tarih ilgisine uygun, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
3,1,09:30,10:15,Pantheon,historic,45,5,low,90.67,41.89861679077149,12.47683334350586,"Pantheon, tarih ilgisine uygun, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
3,2,10:40,11:40,Piazza Navona,square,60,0,free,89.0,41.8989816,12.4731439,"Piazza Navona, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
3,3,12:05,13:05,Lunch Break,break,60,0,,,,,Gün ortasında dinlenme ve yemek molası.
3,4,13:05,13:35,Trevi Fountain,landmark,30,0,free,86.33,41.900978088378906,12.483284950256348,"Trevi Fountain, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
3,5,14:00,15:00,Piazza del Popolo,square,60,0,free,81.67,41.910711,12.476319,"Piazza del Popolo, mimari açıdan güçlü, fotoğraf çekimi için uygun olduğu için önerildi."
3,6,15:25,17:25,Trastevere,district,120,0,free,81.83,41.887222,12.465556,"Trastevere, fotoğraf çekimi için uygun, yeme-içme ve atmosfer açısından güçlü olduğu için önerildi."
