user_profile_id,history_interest,museum_interest,art_interest,architecture_interest,photography_interest,nature_interest,gastronomy_interest,shopping_interest,religious_interest,budget_level,max_entry_fee,free_place_preference,rainy_weather,hot_weather,tempo,preferred_visit_time,family_friendly_required
1,9,8,1,1,5,7,5,5,4,free,0,8,True,True,normal,any,True
2,3,9,6,6,0,6,8,5,10,low,7,7,False,False,fast,any,False
3,10,4,0,3,7,9,6,5,4,high,81,4,True,True,normal,evening,False
4,3,9,3,5,6,2,1,2,2,low,9,6,False,True,normal,any,False
5,2,6,6,7,1,7,6,2,10,low,8,10,False,False,normal,morning,False
6,1,1,9,5,10,4,3,2,1,high,52,4,False,False,slow,any,True
7,3,10,4,9,4,6,7,5,5,low,13,8,False,False,normal,any,True
8,0,6,9,6,8,1,2,6,8,medium,31,3,False,False,fast,morning,False
9,8,4,0,7,5,3,6,0,6,medium,19,4,False,False,fast,afternoon,False
10,6,5,5,1,5,2,3,5,9,medium,31,6,True,True,normal,afternoon,True
11,7,5,5,0,1,0,0,6,2,free,0,9,False,True,fast,night,False
12,6,3,1,7,0,5,3,9,3,medium,16,8,False,False,fast,evening,False
13,1,1,4,10,1,3,1,2,3,low,6,9,False,False,fast,evening,False
14,6,8,1,3,3,3,1,6,3,high,56,3,True,False,slow,evening,False
15,1,9,1,0,4,5,4,7,9,free,0,10,False,False,fast,afternoon,False
16,5,8,3,0,4,1,4,4,0,medium,28,8,False,False,slow,any,False
17,3,1,5,5,9,3,2,6,0,free,0,8,False,False,fast,any,True
18,2,1,3,6,4,9,4,6,5,medium,32,5,False,True,slow,any,False
19,2,4,8,5,2,1,5,9,10,low,5,6,False,False,fast,any,True
20,4,5,10,4,0,0,0,8,4,free,0,10,False,False,fast,morning,False
21,1,5,1,5,0,9,6,4,6,medium,34,8,True,False,slow,night,False
22,9,6,10,6,5,6,5,6,1,low,6,9,False,False,fast,sunset,False
23,0,5,1,10,2,2,6,0,9,low,13,9,False,False,normal,any,False
24,0,0,10,2,9,3,4,4,0,low,14,7,False,False,fast,night,False
25,0,5,2,9,5,7,5,2,9,medium,25,6,False,False,fast,evening,False
26,4,6,7,9,9,1,3,6,4,medium,25,6,False,False,normal,evening,False
27,4,9,7,6,6,1,5,2,8,medium,19,3,True,False,normal,evening,False
28,3,1,1,7,6,6,7,6,10,low,13,9,True,True,slow,morning,False
29,3,4,6,5,4,10,10,1,10,medium,22,8,False,False,normal,any,False
30,2,2,7,8,8,1,3,5,1,medium,17,6,False,False,normal,any,False
31,7,2,2,10,6,6,10,4,5,medium,34,4,False,True,normal,morning,False
32,1,4,7,3,4,4,5,7,0,medium,19,6,True,True,normal,morning,False
33,2,6,0,3,7,5,7,2,1,medium,35,3,False,False,fast,any,True
34,5,0,4,1,3,5,2,9,1,medium,18,4,False,True,fast,any,False
35,0,4,5,8,0,5,9,6,5,medium,18,7,False,False,normal,morning,False
36,10,0,3,2,5,6,10,5,1,medium,31,8,False,False,normal,morning,False
37,1,6,0,2,10,8,10,4,4,medium,25,3,False,False,normal,morning,False
38,8,0,1,5,10,3,4,6,1,medium,35,8,False,False,fast,any,False
39,4,4,2,3,5,9,2,10,2,low,8,6,False,False,normal,night,False
40,5,3,2,9,0,6,1,2,1,low,9,6,False,True,fast,any,False
41,0,6,0,4,2,3,3,10,2,low,5,8,False,False,slow,morning,True
42,9,7,8,0,4,6,3,4,4,medium,22,7,False,False,normal,afternoon,False
43,8,8,2,5,0,1,8,1,4,free,0,9,False,False,normal,any,False
44,1,9,6,6,5,8,3,7,4,low,7,8,False,True,fast,any,False
45,10,5,2,5,10,2,4,10,3,free,0,9,False,False,fast,any,False
46,7,6,6,1,10,4,5,10,2,low,14,9,False,False,fast,any,False
