day,order,item_type,start_time,end_time,location_id,location_name,category,duration_min,travel_from_previous_min,distance_from_previous_km,entry_fee_adult,predicted_suitability_score,latitude,longitude,reservation_required,recommendation_reason
1,1,location,09:30,11:00,9.0,St. Peter's Basilica,religious,90,0,0.0,0.0,84.44,41.902156829833984,12.453712463378906,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
1,2,location,11:37,12:37,7.0,Piazza Navona,square,60,37,2.06,0.0,71.3,41.8989816,12.4731439,0.0,Mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
1,3,break,12:37,13:37,,Lunch Break,break,60,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
1,4,location,14:03,15:03,15.0,Altare della Patria,monument,60,26,1.19,0.0,75.44,41.89468765258789,12.48306655883789,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
1,5,location,15:35,16:35,20.0,Basilica of Saint Mary Major,religious,60,32,1.65,0.0,75.36,41.89762496948242,12.498470306396484,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
2,1,location,09:30,11:00,12.0,Villa Borghese,park,90,0,0.0,0.0,71.84,41.912841796875,12.486536026000977,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
2,2,location,11:25,12:25,19.0,Piazza del Popolo,square,60,25,1.1,0.0,67.19,41.910711,12.476319,0.0,Mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
2,3,break,12:25,13:25,,Lunch Break,break,60,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
2,4,location,13:40,14:25,38.0,Pincian Hill,viewpoint,45,15,0.34,0.0,64.1,41.91104888916016,12.479573249816896,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
2,5,location,14:45,15:30,6.0,Spanish Steps,landmark,45,20,0.77,0.0,66.85,41.90605163574219,12.48287296295166,0.0,Mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
2,6,location,15:49,16:19,5.0,Trevi Fountain,landmark,30,19,0.71,0.0,68.64,41.900978088378906,12.483284950256348,0.0,Mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
3,1,location,09:30,10:30,36.0,Basilica of Saint John Lateran,religious,60,0,0.0,0.0,75.32,41.88584899902344,12.505587577819824,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
3,2,location,11:08,11:53,22.0,Circus Maximus,historic,45,38,2.1,0.0,63.92,41.88615798950195,12.485308647155762,0.0,Tarih ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
3,3,location,12:11,12:56,31.0,Orange Garden,park,45,18,0.57,0.0,65.42,41.88542556762695,12.479907989501951,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
3,4,break,12:56,13:56,,Lunch Break,break,60,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
3,5,location,14:26,16:26,17.0,Trastevere,district,120,30,1.51,0.0,64.61,41.887222,12.465556,0.0,Tarih ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
3,6,location,16:46,17:46,30.0,Janiculum Hill,viewpoint,60,20,0.76,0.0,65.95,41.89157485961914,12.461164474487305,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
