location_id,location_name,normalized_name,city,country,opentripmap_match_name,opentripmap_match_score,source_opentripmap_id,source_osm_id,source_wikidata_id,latitude,longitude,category_raw,opentripmap_rate,popularity_score,data_source,opentripmap_match_status
1,Colosseum,colosseum,Rome,Italy,colosseum,100.0,R1834818,relation/1834818,Q10285,41.890262603759766,12.493086814880373,"sport,mineshafts,architecture,historic,archaeology,other_archaeological_sites,industrial_facilities,historic_architecture,cultural,theatres_and_entertainments,interesting_places,music_venues,amphitheatres,stadiums",7.0,7.0,OpenTripMap,strong_match
2,Roman Forum,roman forum,Rome,Italy,roman forum,100.0,R1841080,relation/1841080,Q180212,41.8917236328125,12.486671447753906,"historic,archaeology,interesting_places,other_archaeological_sites",3.0,3.0,OpenTripMap,strong_match
3,Palatine Hill,palatine hill,Rome,Italy,Palatine Hill,100.0,N365475871,node/365475871,Q200642,41.889305114746094,12.487109184265137,"national_museums,historic,archaeology,cultural,museums,interesting_places,other_archaeological_sites",3.0,3.0,OpenTripMap,strong_match
4,Pantheon,pantheon,Rome,Italy,Pantheon,100.0,R3374342,relation/3374342,Q99309,41.89861679077149,12.47683334350586,"religion,churches,interesting_places,other_churches",2.0,2.0,OpenTripMap,strong_match
5,Trevi Fountain,trevi fountain,Rome,Italy,trevi fountain,100.0,W23322002,way/23322002,Q185382,41.900978088378906,12.483284950256348,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",3.0,3.0,OpenTripMap,strong_match
6,Spanish Steps,spanish steps,Rome,Italy,spanish steps,100.0,W134400816,way/134400816,Q848072,41.90605163574219,12.48287296295166,"other,unclassified_objects,interesting_places,tourist_object",3.0,3.0,OpenTripMap,strong_match
7,Piazza Navona,piazza navona,Rome,Italy,Manual: Piazza Navona,100.0,,,Q463400,41.8989816,12.4731439,"historic,architecture,cultural,urban_environment,squares",,,"Wikidata, Manual",manual_match
8,Vatican Museums,vatican museums,Rome,Italy,Vatican Museums,100.0,W255959482,way/255959482,Q182955,41.90496063232422,12.45466136932373,"national_museums,cultural,museums,interesting_places,art_galleries",3.0,3.0,OpenTripMap,strong_match
9,St. Peter's Basilica,st peters basilica,Rome,Italy,Saint Peter's Basilica,100.0,W205541334,way/205541334,Q12512,41.902156829833984,12.453712463378906,"religion,churches,interesting_places,catholic_churches",7.0,7.0,OpenTripMap,strong_match
10,Sistine Chapel,sistine chapel,Rome,Italy,Sistine Chapel,100.0,W215289671,way/215289671,Q2943,41.90293502807617,12.4544038772583,"religion,churches,interesting_places,other_churches",3.0,3.0,OpenTripMap,strong_match
11,Castel Sant'Angelo,castel santangelo,Rome,Italy,Mausoleum of Hadrian,100.0,Q3301838,,Q3301838,41.903099060058594,12.466400146484377,"historic,monuments_and_memorials,burial_places,interesting_places,monuments,mausoleums",2.0,2.0,OpenTripMap,strong_match
12,Villa Borghese,villa borghese,Rome,Italy,villa borghese,100.0,Q3661788,,Q3661788,41.912841796875,12.486536026000977,"palaces,architecture,historic_architecture,interesting_places",3.0,3.0,OpenTripMap,strong_match
13,Borghese Gallery,borghese gallery,Rome,Italy,galleria borghese,100.0,N1440405490,node/1440405490,Q841506,41.91411972045898,12.492060661315918,"cultural,museums,interesting_places,art_galleries",7.0,7.0,OpenTripMap,strong_match
14,Capitoline Museums,capitoline museums,Rome,Italy,Capitoline Museums,100.0,R9909127,relation/9909127,Q333906,41.892669677734375,12.482208251953123,"cultural,museums,interesting_places,art_galleries",3.0,3.0,OpenTripMap,strong_match
15,Altare della Patria,altare della patria,Rome,Italy,monument to vittorio emanuele ii,100.0,R1849830,relation/1849830,Q506234,41.89468765258789,12.48306655883789,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",7.0,7.0,OpenTripMap,strong_match
16,Campo de' Fiori,campo de fiori,Rome,Italy,Manual: Campo de' Fiori,100.0,,,Q28303,41.8956638,12.4720465,"historic,cultural,urban_environment,squares,marketplace",,,"Wikidata, Manual",manual_match
17,Trastevere,trastevere,Rome,Italy,Manual: Trastevere,100.0,,,Q914255,41.887222,12.465556,"historic,cultural,urban_environment,districts,neighbourhood",,,"Wikidata, Manual",manual_match
18,Piazza Venezia,piazza venezia,Rome,Italy,palazzo venezia,100.0,W140186882,way/140186882,Q1123879,41.89605331420898,12.48182201385498,"palaces,architecture,historic_architecture,interesting_places",7.0,7.0,OpenTripMap,strong_match
19,Piazza del Popolo,piazza del popolo,Rome,Italy,Manual: Piazza del Popolo,100.0,,,Q824997,41.910711,12.476319,"historic,architecture,cultural,urban_environment,squares",,,"Wikidata, Manual",manual_match
20,Basilica of Saint Mary Major,basilica of saint mary major,Rome,Italy,basilica of saint mary major,100.0,W131564482,way/131564482,Q186282,41.89762496948242,12.498470306396484,"religion,churches,interesting_places,catholic_churches",7.0,7.0,OpenTripMap,strong_match
21,Baths of Caracalla,baths of caracalla,Rome,Italy,Baths of Caracalla,100.0,W27591419,way/27591419,Q502098,41.87882995605469,12.492473602294922,"national_museums,architecture,historic,archaeology,museums,saunas,other_archaeological_sites,amusements,historic_architecture,cultural,interesting_places,baths_and_saunas,other_buildings_and_structures",7.0,7.0,OpenTripMap,strong_match
22,Circus Maximus,circus maximus,Rome,Italy,Circus Maximus,100.0,R11384819,relation/11384819,Q207808,41.88615798950195,12.485308647155762,"historic,urban_environment,gardens_and_parks,archaeology,cultural,interesting_places,other_archaeological_sites",3.0,3.0,OpenTripMap,strong_match
23,Trajan's Market,trajans market,Rome,Italy,mercati di traiano,100.0,W207936435,way/207936435,Q478642,41.8956184387207,12.486105918884276,"architecture,historic_architecture,historic,archaeology,interesting_places,destroyed_objects,other_archaeological_sites",3.0,3.0,OpenTripMap,strong_match
24,Ara Pacis,ara pacis,Rome,Italy,Museo dell'Ara Pacis,100.0,W201293294,way/201293294,Q3867996,41.9061393737793,12.475457191467283,"archaeological_museums,cultural,museums,interesting_places,history_museums",3.0,3.0,OpenTripMap,strong_match
25,Doria Pamphilj Gallery,doria pamphilj gallery,Rome,Italy,palazzo doria pamphilj,100.0,N706793341,node/706793341,Q385387,41.89782333374024,12.481560707092283,"cultural,museums,interesting_places,art_galleries",7.0,7.0,OpenTripMap,strong_match
26,MAXXI Museum,maxxi museum,Rome,Italy,MAXXI Museo nazionale delle arti del XXI secolo,93.1818181818182,R8748353,relation/8748353,Q1881229,41.9288444519043,12.466667175292969,"national_museums,cultural,museums,interesting_places,art_galleries",6.0,6.0,OpenTripMap,possible_match
27,National Roman Museum,national roman museum,Rome,Italy,museo nazionale romano,100.0,Q1135392,,Q1135392,41.90125274658203,12.498294830322266,"national_museums,museums,cultural,interesting_places",3.0,3.0,OpenTripMap,strong_match
28,Piazza Barberini,piazza barberini,Rome,Italy,triton fountain,100.0,W662063745,way/662063745,Q267971,41.90366363525391,12.488481521606444,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",7.0,7.0,OpenTripMap,strong_match
29,Quirinal Palace,quirinal palace,Rome,Italy,quirinal palace,100.0,R2707110,relation/2707110,Q223079,41.90065383911133,12.486031532287598,"palaces,architecture,historic_architecture,interesting_places",7.0,7.0,OpenTripMap,strong_match
30,Janiculum Hill,janiculum hill,Rome,Italy,Gianicolo,100.0,N1001130486,node/1001130486,Q3636238,41.89157485961914,12.461164474487305,"historic,battlefields,historical_places,interesting_places",3.0,3.0,OpenTripMap,strong_match
31,Orange Garden,orange garden,Rome,Italy,Giardino degli Aranci,100.0,N653947448,node/653947448,,41.88542556762695,12.479907989501951,"view_points,other,interesting_places",1.0,1.0,OpenTripMap,strong_match
32,Mouth of Truth,mouth of truth,Rome,Italy,The Mouth of Truth,87.5,N497186177,node/497186177,Q729490,41.88825607299805,12.481544494628906,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",3.0,3.0,OpenTripMap,possible_match
33,Tiber Island,tiber island,Rome,Italy,Isola Tiberina,100.0,N4798313727,node/4798313727,,41.8896369934082,12.479233741760254,"view_points,other,interesting_places",1.0,1.0,OpenTripMap,strong_match
34,Appian Way,appian way,Rome,Italy,Manual: Appian Way,100.0,,,Q189417,41.866944,12.5325,"historic,archaeology,cultural,roads,heritage",,,"Wikidata, Manual",manual_match
35,Catacombs of San Callisto,catacombs of san callisto,Rome,Italy,Catacombs of Saint Calixt,88.0,W27351933,way/27351933,Q1027069,41.85890197753906,12.510753631591797,"cemeteries,historic,burial_places,archaeology,interesting_places,other_archaeological_sites",3.0,3.0,OpenTripMap,possible_match
36,Basilica of Saint John Lateran,basilica of saint john lateran,Rome,Italy,Basilica of Saint John Lateran,100.0,R36444,relation/36444,Q84090,41.88584899902344,12.505587577819824,"religion,cathedrals,churches,interesting_places,catholic_churches",7.0,7.0,OpenTripMap,strong_match
