recommendation_rank,location_id,location_name,category,sub_category,predicted_suitability_score,entry_fee_adult,budget_level,average_visit_duration_min,recommended_visit_time,weighted_interest_match,tempo_duration_match,is_affordable,recommendation_reason
1,9,St. Peter's Basilica,religious,basilica,79.33,0,free,90,any,5.6792,100.0,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
2,1,Colosseum,historic,amphitheatre,74.33,18,medium,120,any,5.2453,66.6667,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
3,11,Castel Sant'Angelo,historic,castle_museum,73.86,15,medium,90,any,5.3774,100.0,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
4,13,Borghese Gallery,museum,art_gallery,72.45,15,medium,120,any,5.0566,66.6667,1,Müze tercihinize uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
5,21,Baths of Caracalla,historic,archaeological_site,72.17,8,low,90,any,4.434,100.0,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
6,23,Trajan's Market,historic,archaeological_museum,71.95,15,medium,90,any,5.0566,100.0,1,Tarih ilginizle yüksek uyumlu; müze tercihinize uygun; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun.
7,25,Doria Pamphilj Gallery,museum,art_gallery,71.6,16,medium,90,any,4.6792,100.0,1,Müze tercihinize uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
8,15,Altare della Patria,monument,national_monument,71.3,0,free,60,any,4.7358,66.6667,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
9,10,Sistine Chapel,religious,chapel_art,71.14,20,medium,45,any,5.4717,50.0,1,Müze tercihinize uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
10,39,Domus Aurea,historic,archaeological_site,71.02,16,medium,90,any,4.7925,100.0,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
