location_id,location_name,normalized_name,city,country,opentripmap_match_name,opentripmap_match_score,source_opentripmap_id,source_osm_id,source_wikidata_id,latitude,longitude,category_raw,opentripmap_rate,popularity_score,data_source,opentripmap_match_status,category,sub_category,description,indoor_outdoor,average_visit_duration_min,min_visit_duration_min,max_visit_duration_min,recommended_visit_time,reservation_required,is_family_friendly,opening_hours_raw,opening_time,closing_time,open_days,closed_days,is_open_24h,entry_fee_adult,entry_fee_student,currency,is_free,budget_level,google_rating,google_review_count,tourist_importance_score,history_score,museum_score,art_score,architecture_score,photography_score,nature_score,gastronomy_score,shopping_score,religious_score,public_transport_score,walking_difficulty_score,weather_sensitivity,good_for_rainy_weather,good_for_hot_weather,location_identity_source,coordinate_source,planning_feature_source,fee_data_source,opening_hours_source,interest_scores_source,google_rating_source,data_confidence_level,needs_verification,verification_note
1,Colosseum,colosseum,Rome,Italy,colosseum,100.0,R1834818,relation/1834818,Q10285,41.890262603759766,12.493086814880373,"sport,mineshafts,architecture,historic,archaeology,other_archaeological_sites,industrial_facilities,historic_architecture,cultural,theatres_and_entertainments,interesting_places,music_venues,amphitheatres,stadiums",7.0,7.0,OpenTripMap,strong_match,historic,amphitheatre,,outdoor,120,45,120,any,True,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,18,0,EUR,False,medium,,,10,10,0,3,10,10,0,0,0,0,7,6,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
2,Roman Forum,roman forum,Rome,Italy,roman forum,100.0,R1841080,relation/1841080,Q180212,41.8917236328125,12.486671447753906,"historic,archaeology,interesting_places,other_archaeological_sites",3.0,3.0,OpenTripMap,strong_match,historic,archaeological_site,,outdoor,120,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,18,0,EUR,False,medium,,,10,10,0,3,8,9,0,0,0,0,7,7,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
3,Palatine Hill,palatine hill,Rome,Italy,Palatine Hill,100.0,N365475871,node/365475871,Q200642,41.889305114746094,12.487109184265137,"national_museums,historic,archaeology,cultural,museums,interesting_places,other_archaeological_sites",3.0,3.0,OpenTripMap,strong_match,historic,archaeological_site,,outdoor,90,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,18,0,EUR,False,medium,,,9,10,0,3,5,8,5,0,0,0,7,7,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
4,Pantheon,pantheon,Rome,Italy,Pantheon,100.0,R3374342,relation/3374342,Q99309,41.89861679077149,12.47683334350586,"religion,churches,interesting_places,other_churches",2.0,2.0,OpenTripMap,strong_match,historic,temple_church,,indoor,45,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,5,0,EUR,False,low,,,10,9,0,3,10,9,0,0,0,6,7,4,medium,True,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
5,Trevi Fountain,trevi fountain,Rome,Italy,trevi fountain,100.0,W23322002,way/23322002,Q185382,41.900978088378906,12.483284950256348,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",3.0,3.0,OpenTripMap,strong_match,landmark,fountain,,outdoor,30,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,10,5,0,3,8,10,0,0,0,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
6,Spanish Steps,spanish steps,Rome,Italy,spanish steps,100.0,W134400816,way/134400816,Q848072,41.90605163574219,12.48287296295166,"other,unclassified_objects,interesting_places,tourist_object",3.0,3.0,OpenTripMap,strong_match,landmark,stairs_square,,outdoor,45,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,9,5,0,3,7,9,0,0,7,0,7,4,medium,False,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
7,Piazza Navona,piazza navona,Rome,Italy,Manual: Piazza Navona,100.0,,,Q463400,41.8989816,12.4731439,"historic,architecture,cultural,urban_environment,squares",,,"Wikidata, Manual",manual_match,square,historic_square,,outdoor,60,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,10,5,0,3,9,10,0,6,0,0,7,4,medium,False,True,"Wikidata, Manual","Wikidata, Manual",rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,medium,True,"Identity and coordinates are manually completed using Wikidata. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
8,Vatican Museums,vatican museums,Rome,Italy,Vatican Museums,100.0,W255959482,way/255959482,Q182955,41.90496063232422,12.45466136932373,"national_museums,cultural,museums,interesting_places,art_galleries",3.0,3.0,OpenTripMap,strong_match,museum,art_museum,,indoor,180,45,120,any,True,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,20,0,EUR,False,medium,,,10,8,10,10,5,6,0,0,0,0,7,4,medium,True,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
9,St. Peter's Basilica,st peters basilica,Rome,Italy,Saint Peter's Basilica,100.0,W205541334,way/205541334,Q12512,41.902156829833984,12.453712463378906,"religion,churches,interesting_places,catholic_churches",7.0,7.0,OpenTripMap,strong_match,religious,basilica,,indoor,90,45,120,any,False,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,0,0,EUR,True,free,,,10,9,0,3,10,9,0,0,0,10,7,4,medium,True,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
10,Sistine Chapel,sistine chapel,Rome,Italy,Sistine Chapel,100.0,W215289671,way/215289671,Q2943,41.90293502807617,12.4544038772583,"religion,churches,interesting_places,other_churches",3.0,3.0,OpenTripMap,strong_match,religious,chapel_art,,indoor,45,45,120,any,True,True,,,,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",,False,20,0,EUR,False,medium,,,10,5,8,10,5,6,0,0,0,9,7,4,medium,True,True,OpenTripMap,OpenTripMap,rule_based_v1_draft,draft_manual_needs_official_verification,not_collected_yet,rule_based_feature_engineering_v1,not_collected_yet,high,True,"Identity and coordinates are sourced from OpenTripMap. Entry fee, visit duration, opening hours and interest scores are V1 draft planning features. These fields should be verified with official websites, Google Places API or user feedback in later versions."
