profile_name,recommendation_rank,location_id,location_name,category,sub_category,predicted_suitability_score,entry_fee_adult,budget_level,average_visit_duration_min,recommended_visit_time,weighted_interest_match,tempo_duration_match,is_affordable,recommendation_reason
history_architecture,1,9,St. Peter's Basilica,religious,basilica,85.79,0,free,90,any,6.8936,100.0,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
history_architecture,2,1,Colosseum,historic,amphitheatre,82.23,18,medium,120,any,6.2128,66.6667,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
history_architecture,3,11,Castel Sant'Angelo,historic,castle_museum,81.22,15,medium,90,any,6.0426,100.0,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
history_architecture,4,4,Pantheon,historic,temple_church,79.52,5,low,45,any,6.4681,50.0,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
history_architecture,5,21,Baths of Caracalla,historic,archaeological_site,77.58,8,low,90,any,5.234,100.0,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
history_architecture,6,23,Trajan's Market,historic,archaeological_museum,76.92,15,medium,90,any,5.6383,100.0,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
history_architecture,7,36,Basilica of Saint John Lateran,religious,basilica,76.6,0,free,60,any,5.9574,66.6667,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
history_architecture,8,20,Basilica of Saint Mary Major,religious,basilica,76.6,0,free,60,any,5.9574,66.6667,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
history_architecture,9,15,Altare della Patria,monument,national_monument,76.45,0,free,60,any,5.5745,66.6667,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
history_architecture,10,39,Domus Aurea,historic,archaeological_site,76.37,16,medium,90,any,5.4255,100.0,1,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
museum_art,1,13,Borghese Gallery,museum,art_gallery,81.23,15,medium,120,any,6.4444,80.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
museum_art,2,8,Vatican Museums,museum,art_museum,79.45,20,medium,180,any,6.7778,80.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
museum_art,3,14,Capitoline Museums,museum,history_art_museum,78.08,16,medium,120,any,6.2222,80.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
museum_art,4,25,Doria Pamphilj Gallery,museum,art_gallery,76.44,16,medium,90,any,5.7778,60.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
museum_art,5,26,MAXXI Museum,museum,modern_art_museum,74.46,12,medium,90,any,6.0222,60.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun.
museum_art,6,10,Sistine Chapel,religious,chapel_art,73.62,20,medium,45,any,6.8,30.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
museum_art,7,27,National Roman Museum,museum,archaeology_museum,71.22,12,medium,120,any,5.1111,80.0,1,Müze tercihinize uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
museum_art,8,24,Ara Pacis,museum,historic_monument_museum,69.62,10,low,60,any,5.4444,40.0,1,Müze tercihinize uygun; sanat ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
museum_art,9,9,St. Peter's Basilica,religious,basilica,68.94,0,free,90,any,5.1111,60.0,1,Mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
museum_art,10,39,Domus Aurea,historic,archaeological_site,68.38,16,medium,90,any,4.6889,60.0,1,Mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
nature_photography,1,12,Villa Borghese,park,urban_park,76.05,0,free,90,any,6.4848,60.0,1,Fotoğraf çekimi için uygun; doğa ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
nature_photography,2,31,Orange Garden,park,viewpoint_garden,71.67,0,free,45,sunset,6.1818,30.0,1,Fotoğraf çekimi için uygun; doğa ilginizle eşleşiyor; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
nature_photography,3,34,Appian Way,historic,ancient_road,71.24,0,free,120,any,5.5758,80.0,1,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
