day,order,item_type,start_time,end_time,location_id,location_name,category,duration_min,travel_from_previous_min,distance_from_previous_km,entry_fee_adult,predicted_suitability_score,latitude,longitude,reservation_required,recommendation_reason
1,1,location,08:30,09:15,4.0,Pantheon,historic,45,0,0.0,5.0,81.15,41.89861679077149,12.47683334350586,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
1,2,location,09:36,10:36,15.0,Altare della Patria,monument,60,21,0.85,0.0,76.48,41.89468765258789,12.48306655883789,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
1,3,location,10:49,11:34,18.0,Piazza Venezia,square,45,13,0.23,0.0,71.47,41.89605331420898,12.48182201385498,0.0,Mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
1,4,location,11:54,12:39,29.0,Quirinal Palace,palace,45,20,0.77,0.0,72.52,41.90065383911133,12.486031532287598,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
1,5,break,12:39,13:24,,Lunch Break,break,45,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
1,6,location,13:45,14:30,6.0,Spanish Steps,landmark,45,21,0.82,0.0,71.83,41.90605163574219,12.48287296295166,0.0,Mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
1,7,location,14:49,15:19,5.0,Trevi Fountain,landmark,30,19,0.71,0.0,70.9,41.900978088378906,12.483284950256348,0.0,Mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
2,1,location,08:30,09:15,10.0,Sistine Chapel,religious,45,0,0.0,20.0,73.43,41.90293502807617,12.4544038772583,1.0,Belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
2,2,location,09:27,10:57,9.0,St. Peter's Basilica,religious,90,12,0.13,0.0,76.56,41.902156829833984,12.453712463378906,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
2,3,location,11:34,12:34,7.0,Piazza Navona,square,60,37,2.06,0.0,72.66,41.8989816,12.4731439,0.0,Mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; tercih ettiğiniz ziyaret zamanına uygun.
2,4,location,12:51,13:36,40.0,Largo di Torre Argentina,historic,45,17,0.56,0.0,68.73,41.89604187011719,12.476836204528809,0.0,Tarih ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
2,5,break,13:36,14:21,,Lunch Break,break,45,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
2,6,location,14:38,15:23,16.0,Campo de' Fiori,square,45,17,0.5,0.0,66.56,41.8956638,12.4720465,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
2,7,location,15:48,16:33,33.0,Tiber Island,landmark,45,25,1.12,0.0,65.64,41.8896369934082,12.479233741760254,0.0,Fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu; tercih ettiğiniz ziyaret zamanına uygun.
